model,cold_period,CBIQ,IL_@0.98 Baseline,IL_@0.98 FE-UCB,coldCL@0.98 Baseline,coldCL@0.98 FE-UCB,CL_@0.98 Baseline,CL_@0.98 FE-UCB,Experiment
catboost,500,1.816239316239316,1329809.7904871667,1432719.2458715113,39455.04877138299,41629.83771687015,217184.7041693534,215874.34870899204,12
catboost,0,1.4121766193347598,50487.55921932026,68976.66730759396,2310.4798212188757,3045.622614095642,205799.55229475885,206001.03606088815,13
catboost,10,1.4627504376580431,74201.91770051791,94882.0058869163,2825.931858963276,3589.8025217311333,205799.55229475885,205983.6762668769,13
catboost,100,1.6572651235168254,347303.16220582544,391305.7878064117,9260.338091902318,10403.659121387363,205799.55229475885,205654.68147321837,13
catboost,200,1.696168060688582,619924.5313626695,686339.2608314737,16934.243520492077,18493.06878325401,205799.55229475885,205274.92866761787,13
catboost,500,1.6222524800622449,1244724.9005673567,1346888.177130808,36937.32982067422,39256.45348391416,205799.55229475885,204595.87615761772,13
catboost,0,2.632782930582706,69351.74287253832,96544.07336232136,3180.312782857695,4280.462248336282,193729.85004083964,194007.3107137034,14
catboost,10,2.6743750779852764,86781.24331173649,115650.3481731412,3483.7205418348844,4601.2452303985065,193729.85004083964,193990.4110108528,14
catboost,100,2.8407436675955577,315867.3372919443,364309.2140199502,8595.822016734337,10017.494199373,193729.85004083964,193689.86519447892,14
catboost,200,2.836584452855301,555861.3676615634,624737.5976700425,15379.985781406776,17220.986357338956,193729.85004083964,193366.37269781827,14
catboost,500,2.512165703115252,1122334.2633124187,1224223.2589142115,33562.443655424766,36115.5713116,193729.85004083964,192765.1025113858,14
catboost,0,2.098141320460679,72068.90564522667,99179.15564084316,3277.228847876877,4360.106573774049,197878.24220018627,198154.28490692787,15
catboost,10,2.147554068949789,89050.21134521459,117645.78884759027,3576.5152742754995,4683.497859271086,197878.24220018627,198146.7025599726,15
catboost,100,2.314797217682162,322211.0763282165,367998.2286497096,8951.344739924005,10310.726334317036,197878.24220018627,197870.23067066327,15
catboost,200,2.3185981983351707,566708.6292206822,632229.2474932726,15838.360399256162,17544.87131374003,197878.24220018627,197506.9843957046,15
catboost,500,2.113345243072713,1140890.706305358,1240836.5295643038,34575.10460680655,36996.67090559447,197878.24220018627,196823.93036746015,15
catboost,0,1.926056338028169,80302.22153365867,107179.85639425385,3745.520824139294,4876.8884250139845,212691.55113783473,213030.9136491422,16
